Is_Starter,SourceDirectories,canonical_SMILES
False,BasidalinOnly_gen1,[O]C1=C(O)C(=O)O[C@@H]1[C@@H](O)CO
False,BasidalinOnly_gen1,C#[O+]
False,BasidalinOnly_gen1,F
False,BasidalinOnly_gen1,O=C/C=c1/oc2cc1n2
False,BasidalinOnly_gen1,NC(=CC(=O)O)C(=O)CC=O
False,BasidalinOnly_gen1,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
False,BasidalinOnly_gen1,*c1c(*)c(O)c(*)c(*)c1O
False,BasidalinOnly_gen1,NC1=CC(=O)OC1=C=C=O
False,BasidalinOnly_gen1,*C(=O)CC[C@H](NC(=O)c1ccc(N(C=O)C[C@H]2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)O
False,BasidalinOnly_gen1,*C(=O)[C@H](C)OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)CN1c2cc(O)ccc2Cc2c1[nH]c(=O)[nH]c2=O
False,BasidalinOnly_gen1,CC(C)=CCOP(=O)(O)OP(=O)(O)O
False,BasidalinOnly_gen1,C=C1OC(=O)C(C=O)=C1N
False,BasidalinOnly_gen1,NC1=CC(O)O/C1=C(\O)C=O
False,BasidalinOnly_gen1,*C1=C(*)C(=O)C(*)=C(*)C1=O
False,BasidalinOnly_gen1,CC(=O)NC1=CC(=O)O/C1=C/C=O
False,BasidalinOnly_gen1,NC1=CC(=O)OC12OC2C=O
False,BasidalinOnly_gen1,O=C1C=C2N=CC=C2O1
False,BasidalinOnly_gen1,NC1=CC(=O)OC1CC=O
False,BasidalinOnly_gen1,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
False,BasidalinOnly_gen1,NC1=CC(=O)O/C1=C/C(=O)C=O
False,BasidalinOnly_gen1,NC1=CC(=O)O/C1=C(\O)CO
False,BasidalinOnly_gen1,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
False,BasidalinOnly_gen1,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1[nH]c(=O)[nH]c(=O)c1N2
False,BasidalinOnly_gen1,NC1=CC(=O)OC1(O)CC=O
False,BasidalinOnly_gen1,C=C1OC(=O)C=C1N
False,BasidalinOnly_gen1,N#CC(O)/C=C1/OC(=O)C=C1N
