SMILES,Is_reactant,Is_product,Is_Starter,SourceDirectory
NC1=CC(=O)O/C1=C/C=O,True,True,True,BasidalinOnly_gen3
C=C(N)C(=O)CC(=O)O,False,True,False,BasidalinOnly_gen3
NC(C=O)=C(CC=O)C(=O)O,True,False,True,BasidalinOnly_gen3
C/C(C#N)=C1\OC(=O)C=C1N,False,True,False,BasidalinOnly_gen3
O/C(CCl)=c1\oc2cc1n2,False,True,False,BasidalinOnly_gen3
O=C(O)CC(O)C1=CC(O)=N1,False,True,False,BasidalinOnly_gen3
COC1OC2=CC(O)OC1=C2N,False,True,False,BasidalinOnly_gen3
C=C1OC(OC)C(C(=O)O)=C1N,False,True,False,BasidalinOnly_gen3
CC1=C2OC(=O)C=C2[N+](C=O)=C1,False,True,False,BasidalinOnly_gen3
NC/C(C(=O)O)=c1/oc2cc1n2,False,True,False,BasidalinOnly_gen3
NC(=CC(=O)O)C(N)CC=O,True,False,True,BasidalinOnly_gen3
N#CC(O)CC(=O)C(N)=CCO,False,True,False,BasidalinOnly_gen3
NC1=CC(=O)OC1=CCOC=O,False,True,False,BasidalinOnly_gen3
CC(=O)/C=C1/OC(=O)C=C1NC(C)O,False,True,False,BasidalinOnly_gen3
CN(C=O)C1=CC(=O)O/C1=C/C=O,False,True,False,BasidalinOnly_gen3
CC(=O)NC1=CC(=O)O/C1=C/CC#N,False,True,False,BasidalinOnly_gen3
CC(=O)OCCC1OC(=O)C=C1N,False,True,False,BasidalinOnly_gen3
COC(=O)C=C(N)C(=O)C(C)=O,False,True,False,BasidalinOnly_gen3
NC1=CC(O)OC1C=O,False,True,False,BasidalinOnly_gen3
COC1C=C(N)C(=O)C(C=O)O1,False,True,False,BasidalinOnly_gen3
N#CC(O)C(O)C1OC(O)C=C1N,False,True,False,BasidalinOnly_gen3
C=C1N=CCC1=O,False,True,False,BasidalinOnly_gen3
CC1=C(N)/C(=C\C(C)O)OC1=O,False,True,False,BasidalinOnly_gen3
N#C/C=c1/oc2cc1n2,False,True,False,BasidalinOnly_gen3
C=C1OC(=O)C(CN)=C1NC(C)=O,False,True,False,BasidalinOnly_gen3
CC(=O)NC1=CC(=O)O/C1=C/C(=O)C#N,False,True,False,BasidalinOnly_gen3
CC(=O)N(C)C/C=C1/OC(=O)C=C1N,False,True,False,BasidalinOnly_gen3
O=C(O)CC1OC2=NC1=C2,False,True,False,BasidalinOnly_gen3
NC1=CC(=O)[NH+]=CCC1=O,False,True,False,BasidalinOnly_gen3
CC1(N)OC(=O)C=C1N,True,True,False,BasidalinOnly_gen3
COC(C#N)CC1OC(=O)C=C1N,False,True,False,BasidalinOnly_gen3
CC(O)NC1=CC(=O)O/C1=C/CN,False,True,False,BasidalinOnly_gen3
NC1=CC2(O)OC1=CC(O)O2,True,False,True,BasidalinOnly_gen3
CC(=O)NC1=CC(=O)O/C1=C(\O)CCl,False,True,False,BasidalinOnly_gen3
NC1=C(CO)C(=O)OC1=CCO,False,True,False,BasidalinOnly_gen3
NC1=CC(=O)OCC1O,False,True,False,BasidalinOnly_gen3
NC1=C(CO)C(=O)OCC1=O,False,True,False,BasidalinOnly_gen3
N#C/C(C(=O)CO)=C1\OC(=O)C=C1N,False,True,False,BasidalinOnly_gen3
C=C1OC(=O)C(CC=O)=C1N,False,True,False,BasidalinOnly_gen3
COc1ccc(O)c(N)c1,False,True,False,BasidalinOnly_gen3
CNCC(=O)/C=C1/OC(=O)C=C1N,False,True,False,BasidalinOnly_gen3
NC1=CC(=O)O/C1=C/C(N)CO,False,True,False,BasidalinOnly_gen3
CC(O)C(=O)/C=C1/OC(=O)C=C1N,False,True,False,BasidalinOnly_gen3
NC1=CC(=O)OC1CC(=O)CO,False,True,False,BasidalinOnly_gen3
NC1=CC(O)OC1(N)C(O)CO,False,True,False,BasidalinOnly_gen3
NC1=CC(=O)O/C1=C(\O)CCl,True,True,False,BasidalinOnly_gen3
NC1C(=O)CC=NC1C(=O)O,False,True,False,BasidalinOnly_gen3
O=C(O)C=C1[NH+]=CCC1=O,True,True,False,BasidalinOnly_gen3
NC1=CC(=O)OC1=C1C=[NH+]C1,False,True,False,BasidalinOnly_gen3
CC(N)(O)/C=C1/OC(=O)C=C1N,False,True,False,BasidalinOnly_gen3
CC(=O)N1CC=C2OC(=O)C=C21,False,True,False,BasidalinOnly_gen3
N#CC/C(O)=C1/OC(=O)C=C1N,False,True,False,BasidalinOnly_gen3
C=C(N)C(=O)CC(=O)C(=O)O,True,True,False,BasidalinOnly_gen3
C=C1OC(=O)C(C(=O)C#N)=C1N,False,True,False,BasidalinOnly_gen3
CNC(C(=O)CC=O)=C1OC1O,False,True,False,BasidalinOnly_gen3
NC/C(Cl)=C1/OC(O)C=C1N,False,True,False,BasidalinOnly_gen3
CC(CN)C(=O)C(N)=CC(=O)O,False,True,False,BasidalinOnly_gen3
NCC1=NC2=CC(=O)OC2=C1,False,True,False,BasidalinOnly_gen3
CC(C=O)=C1OC(=O)C=C1N,False,True,False,BasidalinOnly_gen3
CC(C=O)C(O)(C#N)C(N)=CC(=O)O,False,True,False,BasidalinOnly_gen3
CNC(CC(=O)O)C(=O)CC=O,False,True,False,BasidalinOnly_gen3
CC(=O)/C=C1/OC(=O)C(C(C)N)=C1N,False,True,False,BasidalinOnly_gen3
CC(N)C(=O)/C=C1/OC(=O)C=C1N,False,True,False,BasidalinOnly_gen3
O=CO,True,True,False,BasidalinOnly_gen3
NC1=CC(=O)O/C1=C(\O)C(=O)Cl,False,True,False,BasidalinOnly_gen3
CC(O)OC/C=C1/OC(=O)C=C1N,False,True,False,BasidalinOnly_gen3
COC(/C=C1/OC(=O)C=C1N)CO,False,True,False,BasidalinOnly_gen3
CC(=O)NC1=CC(O)O/C1=C/CO,False,True,False,BasidalinOnly_gen3
CC(=O)OC/C(Cl)=C1/OC(=O)C=C1N,False,True,False,BasidalinOnly_gen3
N#CC(O)(O)C=C1[NH+]=CCC1=O,False,True,False,BasidalinOnly_gen3
