SMILES,Is_Starter,SourceDirectories
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1[nH]c(=O)[nH]c(=O)c1N2,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
*c1c(*)c(O)c(*)c(*)c1O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
*C1=C(*)C(=O)C(*)=C(*)C1=O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
CC(C)=CCOP(=O)(O)OP(=O)(O)O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
*C(=O)CC[C@H](NC(=O)c1ccc(N(C=O)C[C@H]2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
*C(=O)CC[C@H](NC(=O)c1ccc(NC[C@H]2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
[O]C1=C(O)C(=O)O[C@@H]1[C@@H](O)CO,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
*C(=O)[C@H](C)OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
*C(=O)[C@H](C)OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)CN1c2cc(O)ccc2Cc2c1[nH]c(=O)[nH]c2=O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
C#[O+],False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,False,starter_00005;starter_00007;starter_00014;starter_00023;starter_00026;starter_00028;starter_00030;starter_00033;starter_00038;starter_00042;starter_00047;starter_00056;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
