starter_idx,starter_smiles,status,num_molecules,num_targets,time_seconds,error
1,S=P(N1CC1)(N1CC1)N1CC1,success,42,26,15.45,
2,CCN1C(=O)N(CC2=CN=C3NC(CN4CCOCC4)=CC3=C12)C1=C(F)C(OC)=CC(OC)=C1F,success,1511,1492,2258.57,
3,CC1=CC(=NN2C1=NC(=C2)C)C3=CC(=O)N4C=C(C=CC4=N3)N5CCNC6(C5)CC6,success,42,27,31.65,
4,COC(=O)NC1=C(N=C(N=C1N)C2=NN(C3=C2C=C(C=N3)F)CC4=CC=CC=C4F)N,success,1397,1379,1684.48,
7,FC1=C(C=CC(=C1)C#N)[C@H]1CCC2=CN=CN12,success,815,799,389.93,
8,NC(=O)C1=CC=CC2=CN(N=C12)C1=CC=C(C=C1)[C@@H]1CCCNC1,success,1487,1471,1229.23,
9,OC1=C2N(C[C@H]3O[C@@H]4CC[C@@H](C4)N3C2=O)C=C(C(=O)NCC2=C(F)C=C(F)C=C2F)C1=O,success,1568,1550,1473.09,
11,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,success,287,268,200.82,
12,NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC=C1,success,945,927,470.4,
14,CN1C(=O)NN=C1CN1C=CC(=C(OC2=CC(=CC(Cl)=C2)C#N)C1=O)C(F)(F)F,success,1503,1487,1026.85,
16,CNC(=O)C1=CC=C(C=C1F)N1C(=S)N(C(=O)C11CCC1)C1=CC(=C(N=C1)C#N)C(F)(F)F,success,996,980,1230.41,
18,C[C@H]1OC2=C(N)N=CC(=C2)C2=C(C#N)N(C)N=C2CN(C)C(=O)C2=CC=C(F)C=C12,success,668,652,688.07,
20,O[C@H]1CCN(C1)C(=O)NC1=C2N=C(C=CN2N=C1)N1CCC[C@@H]1C1=CC(F)=CC=C1F,success,2174,2156,1976.15,
21,NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,success,577,559,357.91,
23,CCS(=O)(=O)N1CC(CC#N)(C1)N1C=C(C=N1)C1=NC=NC2=C1C=CN2,success,1730,1712,1596.64,
24,CC(=O)C1=C(C)C2=C(N=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2)N(C2CCCC2)C1=O,success,1134,1113,1906.11,
26,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,success,894,874,485.41,
31,NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1,success,263,244,287.81,
32,CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1,success,2825,2807,2088.69,
33,O=C1N(C[C@H]2CCCC3=CC=CC1=C23)[C@@H]1CN2CCC1CC2,success,666,651,478.61,
38,CC1=CN(C(=O)C=C1)C1=CC=CC=C1,success,625,609,408.91,
41,CN1N=NC(=N1)C1=CC=C(C=N1)C1=CC=C(C=C1F)N1C[C@H](COP(O)(O)=O)OC1=O,success,1070,1055,1176.0,
46,NS(=O)(=O)CC1=NOC2=CC=CC=C12,success,711,695,330.44,
47,ClC1=CC=C(S1)C(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C=C1)N1CCOCC1=O,success,895,879,675.28,
