SMILES,Is_reactant,Is_product,Is_Starter,SourceDirectory
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,True,True,True,GuanosineOnly_gen3
Cc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC=O,True,False,True,GuanosineOnly_gen3
CC(O)OC[C@H]1O[C@](C)(n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
CC(C)(O)O[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]c(N)nc31)O2,False,True,False,GuanosineOnly_gen3
CO[C@H]1[C@@H](OC(C)=O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1C,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@H](COC=O)[C@@H](O)[C@H]2OC=O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CO[C@H]1[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@H](COC=O)[C@]1(C)O,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@]23O[C@H](C(O)O)[C@@H](O)[C@H]2O3)c(=O)[nH]1,True,False,True,GuanosineOnly_gen3
CC(O)O[C@H]1[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@]2(CO)O[C@]12C,False,True,False,GuanosineOnly_gen3
O=CCO,False,True,False,GuanosineOnly_gen3
CCC(=O)Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OC)[C@H]2O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CC(=O)Nc1nc2c(ncn2[C@@H]2O[C@H](COC(C)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CC(=O)[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1C(=O)O,False,True,False,GuanosineOnly_gen3
C[C@]1(n2cnc3c(=O)[nH]c(NC=O)nc32)O[C@H](CO)[C@@H](O)[C@H]1O,True,False,True,GuanosineOnly_gen3
CO[C@H]1[C@@H](OC(C)=O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@]1(C)CO,False,True,False,GuanosineOnly_gen3
CC(=O)O[C@H]1[C@@H](O)[C@H](n2c[n+](C)c3c(=O)[nH]c(N)nc32)O[C@@H]1C(=O)O,False,True,False,GuanosineOnly_gen3
CO[C@@H]1[C@H](OC=O)[C@@H](C(C)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@H]3OC(OCC(O)O)CO[C@H]32)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CC(=O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@](C)(O)[C@@H]1O,True,False,True,GuanosineOnly_gen3
CC(=O)C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@]1(O)C(C)=O,False,True,False,GuanosineOnly_gen3
CCC1=Nc2nc3c(ncn3[C@@H]3O[C@H](CO1)[C@@H](O)[C@H]3O)c(=O)[nH]2,False,True,False,GuanosineOnly_gen3
CC(O)OC1O[C@H]2[C@@H](O)[C@H](n3cnc4c(=O)[nH]c(N)nc43)O[C@H]12,True,False,True,GuanosineOnly_gen3
CO[C@@H]1[C@H](O)[C@@H](C(O)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,True,False,GuanosineOnly_gen3
CC(O)C(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,True,False,GuanosineOnly_gen3
CCOC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](OC)[C@@H]1O,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@H]3O[C@H]32)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CC(C)(O)O[C@H]1[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@]2(CO)O[C@@H]12,False,True,False,GuanosineOnly_gen3
CC(=O)Nc1nc2c(ncn2[C@@H]2O[C@H](COC(C)=O)[C@@H](O)[C@H]2O)c(=O)[nH]1,True,True,False,GuanosineOnly_gen3
C[C@]1(OC=O)[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@H]1O,True,False,True,GuanosineOnly_gen3
N#CC(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@]1(O)C#N,False,True,False,GuanosineOnly_gen3
Cc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](COC(C)(O)C#N)[C@@H](O)[C@H]1O,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@@](CO)(COC=O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CCOC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC(C)=O)nc32)[C@H](O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
COC[C@H]1O[C@@]2(n3cnc4c(=O)[nH]c(N)nc43)O[C@@H]2[C@@H]1O,False,True,False,GuanosineOnly_gen3
CCC(O)O[C@H]1[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@]2(CO2)[C@H]1O,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](C(=O)CO)[C@H]2O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@]23O[C@@H]([C@H]2O)[C@@H](COP(=O)(O)O)O3)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
Cc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](COC=O)[C@@H](O)[C@H]1O,True,False,True,GuanosineOnly_gen3
CO[C@@H]1[C@H](O)[C@@H](C=O)O[C@H]1n1cnc2c3nc(nc21)[nH]3,False,True,False,GuanosineOnly_gen3
COC[C@]12O[C@@H]([C@H](n3cnc4c(=O)[nH]c(N)nc43)O1)[C@@H]2O,False,True,False,GuanosineOnly_gen3
CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@]1(C)CO,False,True,False,GuanosineOnly_gen3
CC(=O)OC[C@]1(C)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,True,True,False,GuanosineOnly_gen3
CO[C@H]1[C@@H](OC=O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,True,False,GuanosineOnly_gen3
CO[C@@H]1[C@H](OC(=O)CO)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,True,False,GuanosineOnly_gen3
COC(=O)[C@]1(n2cnc3c(=O)[nH]c(N)nc32)OC[C@@H](O)[C@H]1O,False,True,False,GuanosineOnly_gen3
CC1=Nc2nc3c(ncn3[C@@H]3O[C@H](C(C)O)[C@@H](O1)[C@H]3O)c(=O)[nH]2,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@H](COC(=O)CC(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,True,False,GuanosineOnly_gen3
CC(=O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](OC=O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1C(C)=O,False,True,False,GuanosineOnly_gen3
CC(=O)OC(=O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@]1(C)O,False,True,False,GuanosineOnly_gen3
CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(NC(C)O)nc32)O[C@@H]1CO,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@]3(C(=O)O)O[C@@H]2[C@@H]3O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CC(O)(O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
CCO[C@@H]1[C@H](O)[C@@H](COC=O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,True,False,GuanosineOnly_gen3
N#CC(=O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@H](COC(=O)CCO)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
C[C@]1(O)[C@@H](C=O)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@H]1O,False,True,False,GuanosineOnly_gen3
CC(C)(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](OC=O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
CO[C@H]1[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@](C)(CO)[C@H]1O,False,True,False,GuanosineOnly_gen3
CC(O)(CO)O[C@@H]1[C@H]2CO[C@@]1(n1cnc3c(=O)[nH]c(N)nc31)O2,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@@H]3COC(O)CCO[C@H]3[C@H]2O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CC(O)O[C@@H]1[C@@H]2O[C@]1(n1cnc3c(=O)[nH]c(N)nc31)O[C@@H]2C(C)O,False,True,False,GuanosineOnly_gen3
COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1OS(=O)(=O)O,True,True,False,GuanosineOnly_gen3
CC(=O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1OC(C)(O)C#N,False,True,False,GuanosineOnly_gen3
Cc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC(C)O,False,True,False,GuanosineOnly_gen3
CC1Nc2nc3c(ncn3[C@@H]3O[C@H](CO)[C@@H](O1)[C@H]3O)c(=O)[nH]2,False,True,False,GuanosineOnly_gen3
Cc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H]1OC=O,False,True,False,GuanosineOnly_gen3
CCC(=O)O[C@H]1[C@@H](O)[C@H](n2c[n+](C)c3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,True,False,GuanosineOnly_gen3
O=C1CC(O)=Nc2nc3c(ncn3[C@@H]3O[C@H](CO1)[C@@H](O)[C@H]3O)c(=O)[nH]2,False,True,False,GuanosineOnly_gen3
CNC(C)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,True,False,GuanosineOnly_gen3
CC1=Nc2nc3c(ncn3[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O1)[C@H]3O)c(=O)[nH]2,False,True,False,GuanosineOnly_gen3
COC(C)O[C@@H]1[C@@H]2Oc3nc4c(=O)[nH]c(N)nc4n3[C@@H]1O[C@@H]2CO,False,True,False,GuanosineOnly_gen3
CC(O)O[C@H]1[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@H](CO)[C@]1(C)O,False,True,False,GuanosineOnly_gen3
CC(N)O[C@@H]1[C@H](OC(C)N)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,True,False,GuanosineOnly_gen3
CC(O)Nc1nc2c(ncn2[C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CC(=O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@]1(C)OC(C)=O,False,True,False,GuanosineOnly_gen3
C[n+]1cn([C@@H]2O[C@H](C(O)C#N)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,False,True,False,GuanosineOnly_gen3
Nc1nc2c(nc3n2[C@@H]2O[C@H](CO3)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CC(=O)Nc1nc2c(ncn2[C@@]2(C)O[C@H](CO)[C@@H](O)[C@H]2OC(C)=O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
COC(=O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](OC(C)=O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
CO[C@@]12OC(O)[C@H]1O[C@@H](n1cnc3c(=O)[nH]c(N)nc31)[C@@H]2O,False,True,False,GuanosineOnly_gen3
COC[C@H]1O[C@](C)(n2cnc3c(=O)[nH]c(N)nc32)[C@H](OC(C)=O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
CC(=O)O[C@@]1(C)[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@H]1O,True,False,True,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OC(=O)CO)c(=O)[nH]1,True,False,True,GuanosineOnly_gen3
N#CC(O)(CO)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,True,False,GuanosineOnly_gen3
C[n+]1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,True,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@H](COC=O)[C@@H](O)[C@H]2O)c(=O)[nH]1,True,True,False,GuanosineOnly_gen3
CC(=O)OC[C@H]1O[C@](C)(n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1OC(C)=O,False,True,False,GuanosineOnly_gen3
CC(=O)OC[C@H]1O[C@](C)(n2c[n+](C)c3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
CCC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1C,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@H](COC(O)CCO)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CC(O)(C#N)OP(=O)(O)O,False,True,False,GuanosineOnly_gen3
CCO,False,True,False,GuanosineOnly_gen3
CC(O)O[C@]1(C)[C@H]2O[C@]2(n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,True,False,GuanosineOnly_gen3
O=C[C@H]1O[C@@H](n2cnc3c4nc(nc32)[nH]4)[C@H](O)[C@@H]1O,True,True,False,GuanosineOnly_gen3
CC(=O)Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OC(C)=O)[C@H]2O)c(=O)[nH]1,True,True,False,GuanosineOnly_gen3
CC(=O)Nc1nc2c(c(=O)[nH]1)[n+](C)cn2[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H]1O,False,True,False,GuanosineOnly_gen3
CCO[C@@H]1[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@]1(C)O,False,True,False,GuanosineOnly_gen3
CC(=O)Nc1nc2c(nc(C)n2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,True,False,True,GuanosineOnly_gen3
C[C@@]1(COC(O)C#N)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
CO[C@@H]1[C@H](OS(=O)(=O)O)[C@@H](C=O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,True,False,GuanosineOnly_gen3
CC(C)(O)OC[C@H]1O[C@@]2(n3cnc4c(=O)[nH]c(N)nc43)O[C@H]1[C@H]2O,False,True,False,GuanosineOnly_gen3
CC(=O)OC[C@]12O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]1O2,False,True,False,GuanosineOnly_gen3
CC(=O)O[C@@H]1[C@H](O)CO[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,True,False,GuanosineOnly_gen3
CC(=O)O[C@@H]1[C@H](O)[C@@H](COP(=O)(O)O)O[C@H]1n1cnc2c3nc(nc21)[nH]3,False,True,False,GuanosineOnly_gen3
CCOC[C@H]1O[C@@H](n2c[n+](C)c3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](C=O)[C@H]2O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CO[C@H]1[C@@H](C(C)=O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,True,False,GuanosineOnly_gen3
CCC(=O)[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,True,False,GuanosineOnly_gen3
CC(=O)O[C@@H]1[C@H](O)[C@H]2C=Nc3nc4c(ncn4[C@@H]1O2)c(=O)[nH]3,False,True,False,GuanosineOnly_gen3
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,True,True,False,GuanosineOnly_gen3
CO[C@@]12O[C@@H]1[C@@H](CO)O[C@H]2n1cnc2c(=O)[nH]c(N)nc21,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@]3(C(O)O)O[C@H]3[C@H]2O)c(=O)[nH]1,True,False,True,GuanosineOnly_gen3
CNC(C)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
COCC(=O)Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
CC(O)(CO)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
CC(=O)O[C@@H]1[C@H](O)CO[C@]1(CO)n1cnc2c(=O)[nH]c(N)nc21,True,False,True,GuanosineOnly_gen3
CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1COC(C)N,False,True,False,GuanosineOnly_gen3
CO[C@@H]1[C@@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@]1(O)OC2O,False,True,False,GuanosineOnly_gen3
COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1OC(=O)CO,False,True,False,GuanosineOnly_gen3
CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@]1(C)CO,False,True,False,GuanosineOnly_gen3
OCC1O[C@H](n2cnc3c4nc(nc32)[nH]4)[C@H](O)[C@@H]1O,False,True,False,GuanosineOnly_gen3
C[n+]1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc(NC(=O)CO)[nH]c(=O)c21,False,True,False,GuanosineOnly_gen3
Cc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,False,True,False,GuanosineOnly_gen3
CC(Cl)(C#N)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,True,False,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@@H]3COCC(O)O[C@H]3[C@H]2O)c(=O)[nH]1,True,False,True,GuanosineOnly_gen3
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)[nH]1,True,True,False,GuanosineOnly_gen3
CC(=O)Nc1nc2c(ncn2[C@@H]2O[C@]3(C(O)O)O[C@@H]2[C@@H]3O)c(=O)[nH]1,False,True,False,GuanosineOnly_gen3
