jobName,jobDir,targetSmiles,numMolecules,numPathwayTargets,seconds,status
Ebola_High_pPotency_molecule_pathway1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway1,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,4750,4739,25909.77134513855,ok
Ebola_High_pPotency_molecule_pathway2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway2,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1[nH]c(=O)[nH]c(=O)c1N2,4750,4739,35250.97754359245,ok
Ebola_High_pPotency_molecule_pathway3,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway3,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,4750,4739,35227.05231976509,ok
Ebola_High_pPotency_molecule_pathway4,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway4,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,4750,4739,35922.13838982582,ok
Ebola_High_pPotency_molecule_pathway5,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway5,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,4750,4739,21216.11457300186,ok
Ebola_High_pPotency_molecule_pathway6,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway6,*C(=O)[C@H](C)OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)CN1c2cc(O)ccc2Cc2c1[nH]c(=O)[nH]c2=O,4750,4739,21546.257083177567,ok
Ebola_High_pPotency_molecule_pathway7,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway7,*C(=O)[C@H](C)OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21,4750,4739,21325.008850812912,ok
Ebola_High_pPotency_molecule_pathway8,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway8,*C(=O)CC[C@H](NC(=O)c1ccc(N(C=O)C[C@H]2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)O,4750,4739,24209.18031835556,ok
Ebola_High_pPotency_molecule_pathway9,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway9,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,4750,4739,24669.90068411827,ok
Ebola_High_pPotency_molecule_pathway10,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway10,*C(=O)CC[C@H](NC(=O)c1ccc(NC[C@H]2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)O,4750,4739,21411.324136972427,ok
Ebola_High_pPotency_molecule_pathway11,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway11,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,4750,4739,25511.318758010864,ok
Ebola_High_pPotency_molecule_pathway12,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway12,CC(=O)O[C@H]1[C@@H](O)[C@@](C)(n2cnc3c(=O)n(C(C)=O)cnc32)O[C@@H]1CO,4750,4739,24224.20203089714,ok
Ebola_High_pPotency_molecule_pathway13,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway13,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,4750,4739,26671.83776664734,ok
Ebola_High_pPotency_molecule_pathway14,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway14,CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@]1(C)n1cnc2c(=O)n(C(C)=O)cnc21,4750,4739,26848.56017279625,ok
Ebola_High_pPotency_molecule_pathway15,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway15,CC(=O)O[C@H]1[C@](C)(O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]1(C)CO,4750,4739,35725.02506542206,ok
Ebola_High_pPotency_molecule_pathway16,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/doranet/scripts/RetroTide_basidalinPrecursor/Ebola/Ebola_High_pPotency_molecule_pathway16,CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)n(C(C)=O)cnc32)O[C@@]1(C)CO,4750,4739,32865.3883895874,ok
