starter_idx,starter_smiles,status,num_molecules,num_targets,time_seconds,error
0,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,success,300,281,258.0,
1,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,success,119,101,195.73,
2,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,success,300,281,246.83,
3,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,failed,134,115,131.52,min() arg is an empty sequence
4,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,361,342,319.49,
5,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,success,985,966,889.2,
6,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,failed,287,268,242.64,min() arg is an empty sequence
7,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,134,116,193.83,
8,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]3[C@H]2O)c(=O)[nH]1,success,124,105,152.19,
9,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,73,57,64.15,
10,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,57,41,56.7,
11,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,success,234,215,201.53,
12,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,success,71,55,64.05,
13,Cn1c(N)nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1=O,success,380,361,306.29,
14,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N,success,545,527,814.99,
15,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1,success,182,163,214.34,
16,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,success,243,224,237.99,
17,CN(C)c1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,314,295,318.7,
18,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OP(=O)(O)O)c(=O)[nH]1,success,138,120,198.13,
19,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1NC=O,success,187,169,132.27,
20,O=c1[nH]c(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,success,245,226,224.58,
21,Nc1nc2c(ncn2C2CC(O)C(CO)O2)c(=O)[nH]1,success,288,269,236.18,
22,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,success,57,41,71.49,
23,Cn1cnc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1=O,success,313,294,273.9,
24,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[Na+].[Na+],success,42,26,34.04,
25,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1.[Na+].[Na+],success,42,26,34.04,
26,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,success,70,54,61.32,
27,CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,failed,316,297,276.56,min() arg is an empty sequence
28,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)c(=O)[nH]1,success,287,268,255.12,
29,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,success,113,97,107.39,
30,Nc1nc2c(nc(N)n2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,402,383,367.7,
31,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,success,140,121,174.18,
32,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,success,54,38,52.66,
33,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@H]3OP(=O)(O)O[C@H]32)c(=O)[nH]1,success,200,181,242.03,
34,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1,success,68,52,61.31,
35,Nc1nc2c(ncn2[C@H]2CC[C@@H](CO)O2)c(=O)[nH]1,success,182,163,168.82,
36,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)NP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,84,68,104.48,
37,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)C[C@H]2O)c(=O)[nH]1,success,288,269,270.11,
38,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,success,302,283,245.55,
39,Nc1nc2c(ncn2[C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]1,success,182,163,203.84,
40,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2N)c(=O)[nH]1,success,353,334,306.92,
41,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]1,success,361,342,345.2,
42,CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,success,316,297,306.68,
43,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]2O)c(=O)[nH]1.[Li+].[Li+].[Li+].[Li+],success,42,26,38.75,
44,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,success,366,347,304.35,
45,Cn1c[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,success,418,399,363.64,
46,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2F)c(=O)[nH]1,success,287,268,270.63,
47,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)[nH]1,success,138,120,173.2,
