SMILES,Is_reactant,Is_product,Is_Starter,SourceDirectory
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,False,True,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](CC(CC)CC)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,False,True,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](CCC)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@](C)(O)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCC(CC)C(C)OC(=O)[C@H](C)N[P@](=O)(O)Oc1ccccc1,False,True,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2cc(CC)c3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,True,False,True,RemdesivirOnly_gen2
Cc1cc2c(N)ncnn2c1[C@]1(C#N)O[C@H](CO)[C@@H](O)[C@H]1O,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OC(C(CC)CC)[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,True,False,True,RemdesivirOnly_gen2
Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2c(C)cc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCC(CC)(COC(=O)[C@H](C)N[P@](=O)(O)Oc1ccccc1)C(=O)O,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)C[C@H](N[P@](=O)(O)Oc1ccccc1)C(=O)OCC(CC)CC,False,True,False,RemdesivirOnly_gen2
CCC(CC)COCO,False,True,False,RemdesivirOnly_gen2
CCC(COC(=O)O)C(C)C,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@@]1(C)N[P@@](=O)(Oc2ccccc2)OC1=O,False,True,False,RemdesivirOnly_gen2
Cc1nc(N)c2ccc([C@]3(C#N)O[C@H](CO)[C@@H](O)[C@H]3O)n2n1,False,True,False,RemdesivirOnly_gen2
CCC(CC)C[C@H](N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC,True,False,True,RemdesivirOnly_gen2
CCc1cc([C@]2(C#N)O[C@H](CO)[C@@H](O)[C@H]2O)n2ncnc(N)c12,False,True,False,RemdesivirOnly_gen2
O=CO,False,True,False,RemdesivirOnly_gen2
CCC(COC)CC(=O)O,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@]2(C#N)c3ccc4c(N)nc(nn34)O[C@H]1[C@H]2O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2cc(C)c3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCC1(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc2ccccc2)O1,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC1=[N+]([P@@](=O)(Oc2ccccc2)OP(=O)(O)O)[C@H]1C,False,True,False,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)nc(CC)nn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCCC(C)C=O,False,True,False,RemdesivirOnly_gen2
CCC(CC)CN,False,True,False,RemdesivirOnly_gen2
COc1ccccc1,False,True,False,RemdesivirOnly_gen2
CCC(CC)C(OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)O,True,False,True,RemdesivirOnly_gen2
CCC(CC)C1OC(=O)[C@H](C)N[P@@](=O)(Oc2ccccc2)OC1=O,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccc(C(=O)O)cc1,True,False,True,RemdesivirOnly_gen2
CCc1cc2c(N)ncnn2c1[C@]1(C#N)O[C@H](CO)[C@@H](O)[C@H]1O,False,True,False,RemdesivirOnly_gen2
CCC1CCO[P@](=O)(Oc2ccccc2)N[C@@H](C)C(=O)OC1,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccc(C(=O)O)cc1)OP(=O)(O)O,False,True,False,RemdesivirOnly_gen2
CCC(C)(CC)CO,False,True,False,RemdesivirOnly_gen2
CC(C)=CCc1ccc(O)cc1,False,True,False,RemdesivirOnly_gen2
CCC(CC)CO,True,True,False,RemdesivirOnly_gen2
C[C@@]1(O)[C@@H](O)[C@](C#N)(c2ccc3c(N)ncnn23)O[C@@H]1CO,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccc(C)cc1,True,False,True,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2cc(C)c3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
Cc1nc(N)c2ccc([C@]3(C#N)O[C@H](C=O)[C@@H](O)[C@H]3O)n2n1,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@]1(C)O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCC(CC)C1OC(OC)[C@H](C)N[P@@](=O)(Oc2ccccc2)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O1,False,True,False,RemdesivirOnly_gen2
CC(C)=CCOc1ccccc1,False,True,False,RemdesivirOnly_gen2
CCC(C)CO,False,True,False,RemdesivirOnly_gen2
Cc1cc([C@]2(C#N)O[C@H](CO)[C@@H](O)[C@H]2O)n2ncnc(N)c12,False,True,False,RemdesivirOnly_gen2
Cc1cc([C@]2(C#N)O[C@H](C=O)[C@@H](O)[C@H]2O)n2ncnc(N)c12,False,True,False,RemdesivirOnly_gen2
CCC(CC)c1ccc(O[P@](=O)(N[C@@H](C)C(=O)OC)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O)cc1,True,False,True,RemdesivirOnly_gen2
CC(C)C(C)CO,False,True,False,RemdesivirOnly_gen2
C[C@@]1(O)[C@@H](O)[C@](C#N)(c2ccc3c(N)ncnn23)O[C@@H]1C=O,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2cc(C)c3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCC(CC)C(C)OC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@](=O)(O)Oc1ccccc1,False,True,False,RemdesivirOnly_gen2
CCC(C)C(C)=O,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@@](=O)(Oc1ccc(C)cc1)OP(=O)(O)O,False,True,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](CC)N[P@](=O)(O)Oc1ccccc1,False,True,False,RemdesivirOnly_gen2
N#C[C@]12O[C@H](CO)[C@@H](Oc3cc4c(N)ncnn4c31)[C@H]2O,False,True,False,RemdesivirOnly_gen2
CCC(CC)C[C@H](N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O)C(=O)OC,False,True,False,RemdesivirOnly_gen2
C[C@H](N[P@](=O)(O)Oc1ccccc1)C(=O)O,False,True,False,RemdesivirOnly_gen2
CCC1COC(=O)[C@H](C)N[P@@](=O)(Oc2ccccc2)OC(=O)C1C,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@]1(C)O[C@@](C#N)(c2ccc3c(NC(C)=O)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,True,False,RemdesivirOnly_gen2
*c1c(*)c(O)c(*)c(*)c1O,False,True,False,RemdesivirOnly_gen2
CCC(C)(C)COC(=O)[C@H](C)N[P@](=O)(O)Oc1ccccc1,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(O)Oc1ccccc1,True,True,False,RemdesivirOnly_gen2
CCC(COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)O,True,False,True,RemdesivirOnly_gen2
N#C[C@]12O[C@H](CO)[C@@H](Oc3cc1n1ncnc(N)c31)[C@H]2O,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](CC)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCCCOC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CCN[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(C)=O,False,True,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2c(C)cc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
N#C[C@@]12O[C@H](CO)[C@@H](O)[C@H]1Oc1nc(N)c3ccc2n3n1,False,True,False,RemdesivirOnly_gen2
CCC(C)(C)C=O,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](CC)N[P@](=O)(O)Oc1ccccc1,False,True,False,RemdesivirOnly_gen2
CCC(CC)C(O)[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)C(C)(C)N[P@](=O)(O)Oc1ccccc1,False,True,False,RemdesivirOnly_gen2
CC(O)[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,True,False,RemdesivirOnly_gen2
CCC(C)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@@](C)(O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCC(CC)c1nc(N)c2ccc([C@]3(C#N)O[C@H](CO)[C@@H](O)[C@H]3O)n2n1,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)[C@H](CO)N[P@](=O)(O)Oc1ccccc1,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@]1(C)O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCC(CC)[C@](C)(N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O)C(=O)OC,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)CN[P@](=O)(O)Oc1ccc(C)cc1,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(O)[C@H](C)N[P@](=O)(O)Oc1ccccc1,False,True,False,RemdesivirOnly_gen2
CCC(C)(CC)COC(=O)[C@H](C)N[P@](=O)(O)Oc1ccccc1,False,True,False,RemdesivirOnly_gen2
CCC(C)(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,True,False,True,RemdesivirOnly_gen2
CCC1(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc2ccccc2)OC1=O,False,True,False,RemdesivirOnly_gen2
CCC(CC)COC(=O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,False,True,False,RemdesivirOnly_gen2
