SMILES,Is_reactant,Is_product,Is_Starter,SourceDirectory,SourceStarterNum
CC=C1OC(=O)[C@@H](CCCCCC)C1=O,True,True,True,basidalinPrecursor_gen2,97.0
CCCC[C@H]1C(=O)OC(=CCO)[C@H]1O,True,True,True,basidalinPrecursor_gen2,452.0
CC=C1OC(=O)[C@@H](O)[C@H]1O,True,True,True,basidalinPrecursor_gen2,1669.0
C=CCCC=C1OC(=O)[C@@H](C(C)C)C1=O,True,True,True,basidalinPrecursor_gen2,250.0
O=C1OC(=Cc2c[nH]c(Cl)c2Cl)C[C@@H]1O,True,True,True,basidalinPrecursor_gen2,1288.0
CCC=C1OC(=O)[C@@H](O)C1=O,True,True,True,basidalinPrecursor_gen2,258.0
O=C1OC(=CCO)C=C1CCCCc1c[nH]c(Cl)c1Cl,False,False,True,basidalinPrecursor_gen2,
CCCC[C@H]1C(=O)OC(=C[C@@H](C)CNC(=O)[C@H](C)N)C1=O,True,False,True,basidalinPrecursor_gen2,2026.0
O=C1OC(=CC2CC[C@@H](O)[C@H](O)C2)C=C1CCCCc1c[nH]c(Cl)c1Cl,False,False,True,basidalinPrecursor_gen2,
CO[C@@H]1C(=O)OC(=CC=Cc2ccccc2)C1=O,True,False,True,basidalinPrecursor_gen2,963.0
CCC(C)C=C1OC(=O)[C@H](O)[C@H]1O,True,True,True,basidalinPrecursor_gen2,321.0
CCCC[C@@H]1C(=O)OC(=Cc2ccccc2)[C@@H]1O,True,False,True,basidalinPrecursor_gen2,1767.0
C[C@@H]1C(=O)OC(=C[C@@H](C)CNC(=O)[C@H](C)N)C1=O,True,True,True,basidalinPrecursor_gen2,2010.0
O=C1OC(=CC2=CC[C@@H](O)[C@H](O)C2)C(=O)[C@@H]1O,False,False,True,basidalinPrecursor_gen2,
C=CC[C@H]1C(=O)OC(=CCC)[C@@H]1O,True,True,True,basidalinPrecursor_gen2,291.0
CCCCC1=CC(=CCC(C)C)OC1=O,False,False,True,basidalinPrecursor_gen2,
CC(C)CC=C1C[C@H](CCCCc2c[nH]c(Cl)c2Cl)C(=O)O1,False,False,True,basidalinPrecursor_gen2,
CC[C@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@H]1O,True,False,True,basidalinPrecursor_gen2,1226.0
CC(C)[C@@H]1C(=O)OC(=CCc2ccccc2)[C@H]1O,True,False,True,basidalinPrecursor_gen2,1668.0
O=C1OC(=CC2=CC[C@@H](O)[C@H](O)C2)C(=O)C1CCCCc1c[nH]c(Cl)c1Cl,False,False,True,basidalinPrecursor_gen2,
CCCCCC[C@@H]1C(=O)OC(=CC2=CC[C@@H](O)[C@H](O)C2)C1=O,False,False,True,basidalinPrecursor_gen2,
CC(C)C1=CC(=CC2=CC[C@@H](O)[C@H](O)C2)OC1=O,False,False,True,basidalinPrecursor_gen2,
C=CC[C@@H]1C(=O)OC(=CC2=CCCC2=O)[C@@H]1O,True,False,True,basidalinPrecursor_gen2,801.0
O=C1CC(=O)C(=C[C@@H]2CCC[C@H]2C(=O)O)O1,True,True,True,basidalinPrecursor_gen2,713.0
C=CC[C@H]1C(=O)OC(=C[C@@H](C)CNC(=O)[C@H](C)N)C1=O,True,False,True,basidalinPrecursor_gen2,2019.0
CCCC=C1OC(=O)[C@@H](CCCCCC)[C@H]1O,False,False,True,basidalinPrecursor_gen2,
C=CC[C@@H]1C(=O)OC(=Cc2ccccc2)[C@@H]1O,True,False,True,basidalinPrecursor_gen2,1749.0
CO[C@H]1C(=O)OC(=Cc2ccc(N)cc2)C1=O,True,True,True,basidalinPrecursor_gen2,1186.0
NC(=[NH2+])NCC=C1OC(=O)C[C@H]1O,True,True,True,basidalinPrecursor_gen2,1376.0
CC=C1OC(=O)[C@@H](CC)C1=O,True,True,True,basidalinPrecursor_gen2,196.0
CCC=C1OC(=O)[C@H](OC)C1=O,True,True,True,basidalinPrecursor_gen2,1.0
CCC=C1C=C(C(C)C)C(=O)O1,True,True,True,basidalinPrecursor_gen2,64.0
Nc1cc(O)cc(C=C2OC(=O)[C@H](CCCCc3c[nH]c(Cl)c3Cl)[C@@H]2O)c1,False,False,True,basidalinPrecursor_gen2,
COCC=C1C=C(CCCCc2c[nH]c(Cl)c2Cl)C(=O)O1,False,False,True,basidalinPrecursor_gen2,
CCCCCC[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1O,False,False,True,basidalinPrecursor_gen2,
O=C1CCC=C1C=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)[C@H]1O,False,False,True,basidalinPrecursor_gen2,
CCCC[C@H]1C(=O)OC(=CCC(C)C)[C@H]1O,False,False,True,basidalinPrecursor_gen2,
Nc1cc(O)cc(C=C2OC(=O)C(CCCCc3c[nH]c(Cl)c3Cl)C2=O)c1,False,False,True,basidalinPrecursor_gen2,
CC(C)[C@@H]1C(=O)OC(=CC=Cc2ccccc2)[C@@H]1O,True,False,True,basidalinPrecursor_gen2,1018.0
C=CC[C@H]1C(=O)OC(=Cc2ccccc2)[C@H]1O,True,False,True,basidalinPrecursor_gen2,1780.0
CC[C@@H]1C(=O)OC(=Cc2csc(C)n2)[C@@H]1O,True,True,True,basidalinPrecursor_gen2,1433.0
C=CCCC=C1OC(=O)[C@H](CC=C)C1=O,True,False,True,basidalinPrecursor_gen2,244.0
CCCCC1=CC(=C[C@@H](C)CNC(=O)[C@H](C)N)OC1=O,True,False,True,basidalinPrecursor_gen2,2048.0
O=C1OC(=CCc2ccccc2)[C@H](O)[C@H]1O,True,True,True,basidalinPrecursor_gen2,1664.0
O=C1OC(=CC2=CC[C@@H](O)[C@H](O)C2)C[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,False,False,True,basidalinPrecursor_gen2,
CCC(C)C=C1OC(=O)C(O)C1=O,True,True,True,basidalinPrecursor_gen2,1956.0
CC(C)[C@H]1CC(=CC2CCCCC2)OC1=O,False,False,True,basidalinPrecursor_gen2,
C=CC[C@H]1C(=O)OC(=Cc2ccc([N+](=O)[O-])cc2)C1=O,True,False,True,basidalinPrecursor_gen2,1861.0
COC1=CC(=CC2CCCCC2)OC1=O,True,True,True,basidalinPrecursor_gen2,664.0
CCCCCC[C@@H]1C(=O)OC(=Cc2csc(C)n2)[C@H]1O,False,False,True,basidalinPrecursor_gen2,
O=C1C[C@@H](O)C(=CC2=CCCC2=O)O1,True,True,True,basidalinPrecursor_gen2,858.0
CC(C)[C@@H]1C(=O)OC(=CC2CC[C@@H](O)[C@H](O)C2)[C@@H]1O,False,False,True,basidalinPrecursor_gen2,
CCCC[C@@H]1C(=O)OC(=CC(C)CC)[C@H]1O,False,False,True,basidalinPrecursor_gen2,
CO[C@@H]1C(=O)OC(=CCC(C)C)[C@@H]1O,True,True,True,basidalinPrecursor_gen2,609.0
NC(=[NH2+])NCC=C1OC(=O)C(O)C1=O,True,True,True,basidalinPrecursor_gen2,1403.0
O=C1OC(=CC2CC[C@@H](O)[C@H](O)C2)C(=O)[C@H]1CCCCc1c[nH]c(Cl)c1Cl,False,False,True,basidalinPrecursor_gen2,
O=C1OC(=Cc2ccc[nH]2)C[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,False,False,True,basidalinPrecursor_gen2,
O=C1OC(=CCO)[C@@H](O)[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,False,False,True,basidalinPrecursor_gen2,
CC(C)[C@H]1C(=O)OC(=Cc2ccc([N+](=O)[O-])cc2)[C@@H]1O,True,False,True,basidalinPrecursor_gen2,1821.0
CCCCCC[C@H]1C(=O)OC(=Cc2ccc([N+](=O)[O-])cc2)C1=O,True,False,True,basidalinPrecursor_gen2,1870.0
CC[C@H]1CC(=C[C@@H](CC)C(N)=O)OC1=O,True,True,True,basidalinPrecursor_gen2,1924.0
CCCC=C1OC(=O)[C@@H](CC)[C@H]1O,True,True,True,basidalinPrecursor_gen2,384.0
CCC=C1OC(=O)[C@@H](OC)[C@@H]1O,True,True,True,basidalinPrecursor_gen2,194.0
O=C1OC(=CCc2ccccc2)[C@@H](O)[C@@H]1O,True,True,True,basidalinPrecursor_gen2,1730.0
CCC1=CC(=Cc2ccccc2)OC1=O,False,False,True,basidalinPrecursor_gen2,
CC(C)[C@@H]1C(=O)OC(=CC2=CCCC2=O)[C@H]1O,False,False,True,basidalinPrecursor_gen2,
CCCC=C1OC(=O)[C@H](C(C)C)C1=O,True,True,True,basidalinPrecursor_gen2,130.0
CO[C@H]1C(=O)OC(=C[C@@H](C)CNC(=O)[C@H](C)N)[C@H]1O,True,True,True,basidalinPrecursor_gen2,2024.0
CCCC[C@H]1C(=O)OC(=Cc2ccc([N+](=O)[O-])cc2)[C@H]1O,True,False,True,basidalinPrecursor_gen2,1874.0
CCCCCC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,False,False,True,basidalinPrecursor_gen2,
CCC=C1OC(=O)[C@H](OC)[C@@H]1O,True,True,True,basidalinPrecursor_gen2,128.0
O=C1CCC=C1C=C1OC(=O)[C@@H](O)[C@H]1O,True,True,True,basidalinPrecursor_gen2,800.0
CO[C@H]1CC(=Cc2ccc(N)cc2)OC1=O,True,True,True,basidalinPrecursor_gen2,1209.0
Nc1ccc(C=C2CCC(=O)O2)cc1,True,True,True,basidalinPrecursor_gen2,1246.0
O=C1OC(=CC2=CC[C@@H](O)[C@H](O)C2)C(=O)[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,False,False,True,basidalinPrecursor_gen2,
CC(C)C1=CC(=CC2=CCCC2=O)OC1=O,False,False,True,basidalinPrecursor_gen2,
C=CC[C@@H]1C(=O)OC(=C[C@@H](C)CNC(=O)[C@H](C)N)[C@@H]1O,True,False,True,basidalinPrecursor_gen2,1986.0
CCCC=C1OC(=O)[C@H](CCCCCC)[C@@H]1O,False,False,True,basidalinPrecursor_gen2,
CCCC[C@@H]1C(=O)OC(=Cc2csc(C)n2)C1=O,False,False,True,basidalinPrecursor_gen2,
CO[C@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)C1=O,True,True,True,basidalinPrecursor_gen2,1265.0
O=C1CCC(=CC2=CCCC2=O)O1,True,True,True,basidalinPrecursor_gen2,793.0
CC[C@H]1C(=O)OC(=Cc2ccc(N)cc2)[C@@H]1O,True,False,True,basidalinPrecursor_gen2,1262.0
CCC=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)[C@@H]1O,False,False,True,basidalinPrecursor_gen2,
COCC=C1C=C(O)C(=O)O1,True,True,True,basidalinPrecursor_gen2,473.0
CCCC=C1OC(=O)[C@H](O)[C@H]1O,True,True,True,basidalinPrecursor_gen2,321.0
C=CCC1=CC(=CC2CC[C@@H](O)[C@H](O)C2)OC1=O,False,False,True,basidalinPrecursor_gen2,
O=C1OC(=CCc2ccccc2)C[C@@H]1O,True,True,True,basidalinPrecursor_gen2,1683.0
CC=C1C[C@H](C)C(=O)O1,True,True,True,basidalinPrecursor_gen2,3.0
C=CC[C@H]1C(=O)OC(=Cc2csc(C)n2)[C@@H]1O,True,False,True,basidalinPrecursor_gen2,1484.0
CC[C@H](C=C1OC(=O)[C@H](C)C1=O)C(N)=O,True,True,True,basidalinPrecursor_gen2,1912.0
O=C1OC(=Cc2ccccc2)C(=O)C1O,True,True,True,basidalinPrecursor_gen2,1798.0
CC(C)C1=CC(=CCc2ccccc2)OC1=O,False,False,True,basidalinPrecursor_gen2,
CC(C)C1=CC(=C[C@@H](C)CNC(=O)[C@H](C)N)OC1=O,True,False,True,basidalinPrecursor_gen2,2040.0
CCC(C)C=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)[C@H]1O,False,False,True,basidalinPrecursor_gen2,
CO[C@H]1C(=O)OC(=CCc2ccccc2)[C@@H]1O,True,False,True,basidalinPrecursor_gen2,1664.0
COCC=C1OC(=O)[C@H](O)[C@@H]1O,True,True,True,basidalinPrecursor_gen2,425.0
CC(C)[C@@H]1C(=O)OC(=CC2CC[C@@H](O)[C@H](O)C2)C1=O,False,False,True,basidalinPrecursor_gen2,
CCCC[C@H]1C(=O)OC(=CC2CC[C@@H](O)[C@H](O)C2)[C@H]1O,False,False,True,basidalinPrecursor_gen2,
CO[C@H]1C(=O)OC(=Cc2ccccc2)[C@H]1O,True,True,True,basidalinPrecursor_gen2,1768.0
CC1=CC(=CC2CCCCC2)OC1=O,False,False,True,basidalinPrecursor_gen2,
C=CC[C@H]1CC(=CC(C)C)OC1=O,True,True,True,basidalinPrecursor_gen2,67.0
CCC=C1OC(=O)[C@H](CC)[C@H]1O,True,True,True,basidalinPrecursor_gen2,4.0
O=C1CCC=C1C=C1C=C(O)C(=O)O1,True,True,True,basidalinPrecursor_gen2,868.0
C=CC[C@H]1CC(=Cc2cc(N)cc(O)c2)OC1=O,True,False,True,basidalinPrecursor_gen2,1094.0
CO[C@@H]1C(=O)OC(=Cc2ccccc2)C1=O,True,True,True,basidalinPrecursor_gen2,1753.0
COC1=CC(=CC2=CC[C@@H](O)[C@H](O)C2)OC1=O,True,True,True,basidalinPrecursor_gen2,1658.0
CC[C@@H]1C(=O)OC(=Cc2c[nH]c(Cl)c2Cl)[C@@H]1O,True,True,True,basidalinPrecursor_gen2,1275.0
C[C@@H]1C(=O)OC(=Cc2ccccc2)C1=O,True,False,True,basidalinPrecursor_gen2,1773.0
C[C@@H]1C(=O)OC(=CCO)[C@@H]1O,True,True,True,basidalinPrecursor_gen2,192.0
CC=C1OC(=O)[C@H](CC)[C@H]1O,True,True,True,basidalinPrecursor_gen2,4.0
