StarterDirectory,NumPathways,PathwayNumber,AtomicEconomy,Reactant,Product,ReactionSMILES
starter_00000,1,1,1.0,CCC=C1OC(=O)[C@@H](C)[C@H]1O.O=C=O | C[C@@H]1C(=O)OC(=CCCC(=O)O)[C@@H]1O,C[C@@H]1C(=O)OC(=CCCC(=O)O)[C@@H]1O | CC=C1OC(=O)[C@@H](C)[C@@]1(O)CC(=O)O,CCC=C1OC(=O)[C@@H](C)[C@H]1O.O=C=O>>C[C@@H]1C(=O)OC(=CCCC(=O)O)[C@@H]1O | C[C@@H]1C(=O)OC(=CCCC(=O)O)[C@@H]1O>>CC=C1OC(=O)[C@@H](C)[C@@]1(O)CC(=O)O
starter_00001,3,1,0.9117681630733967,CCC=C1OC(=O)[C@H](O)C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O | C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=C1OC(=CCCO)C(=O)[C@H]1O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O=C1OC(=CCCO)C(=O)[C@H]1O | CC(O)CC=C1OC(=O)[C@H](O)C1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CCC=C1OC(=O)[C@H](O)C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O=C1OC(=CCCO)C(=O)[C@H]1O | C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=C1OC(=CCCO)C(=O)[C@H]1O>>CC(O)CC=C1OC(=O)[C@H](O)C1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
starter_00001,3,2,0.9117681630733967,CCC=C1OC(=O)[C@H](O)C1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O | CCCC=C1OC(=O)[C@H](O)C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,CCCC=C1OC(=O)[C@H](O)C1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O | CC(O)CC=C1OC(=O)[C@H](O)C1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CCC=C1OC(=O)[C@H](O)C1=O.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>CCCC=C1OC(=O)[C@H](O)C1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O | CCCC=C1OC(=O)[C@H](O)C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>CC(O)CC=C1OC(=O)[C@H](O)C1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O
starter_00001,3,3,0.5375958739546273,CCC=C1OC(=O)[C@H](O)C1=O.CCC=C1OC(=O)[C@H](O)C1=O | CCCC=C1OC(=O)[C@H](O)C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,CC=C1OC(=O)[C@H](O)C1=O.CCCC=C1OC(=O)[C@H](O)C1=O | CC(O)CC=C1OC(=O)[C@H](O)C1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CCC=C1OC(=O)[C@H](O)C1=O.CCC=C1OC(=O)[C@H](O)C1=O>>CC=C1OC(=O)[C@H](O)C1=O.CCCC=C1OC(=O)[C@H](O)C1=O | CCCC=C1OC(=O)[C@H](O)C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>CC(O)CC=C1OC(=O)[C@H](O)C1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O
starter_00002,1,1,1.0,CCC=C(O)C(=O)CC(=O)O | CCC=C1OC(=O)CC1=O.O,CCC=C1OC(C(=O)O)C1O | CCC=C(O)C(=O)CC(=O)O,CCC=C(O)C(=O)CC(=O)O>>CCC=C1OC(C(=O)O)C1O | CCC=C1OC(=O)CC1=O.O>>CCC=C(O)C(=O)CC(=O)O
starter_00003,1,1,1.0,CCC=C1C[C@H](CC)C(=O)O1.O=C=O | CCC=C1C[C@H](CCC(=O)O)C(=O)O1,CCC=C1C[C@H](CCC(=O)O)C(=O)O1 | CCC=C1OC(=O)[C@@H](C)C1CC(=O)O,CCC=C1C[C@H](CC)C(=O)O1.O=C=O>>CCC=C1C[C@H](CCC(=O)O)C(=O)O1 | CCC=C1C[C@H](CCC(=O)O)C(=O)O1>>CCC=C1OC(=O)[C@@H](C)C1CC(=O)O
starter_00004,2,1,1.0,CCC=C1OC(=O)[C@H](C(C)C)[C@H]1O | CC[C@H]1C(=O)OC(=CC(C)C)[C@@H]1O.O=C=O,CC[C@H]1C(=O)OC(=CC(C)C)[C@@H]1O | CC(C)C=C1OC(=O)[C@H](CCC(=O)O)[C@H]1O,CCC=C1OC(=O)[C@H](C(C)C)[C@H]1O>>CC[C@H]1C(=O)OC(=CC(C)C)[C@@H]1O | CC[C@H]1C(=O)OC(=CC(C)C)[C@@H]1O.O=C=O>>CC(C)C=C1OC(=O)[C@H](CCC(=O)O)[C@H]1O
starter_00004,2,2,1.0,CCC=C1OC(=O)[C@H](C(C)C)[C@H]1O.O=C=O | CCC=C1OC(=O)[C@H](C(C)CC(=O)O)[C@H]1O,CCC=C1OC(=O)[C@H](C(C)CC(=O)O)[C@H]1O | CC(C)C=C1OC(=O)[C@H](CCC(=O)O)[C@H]1O,CCC=C1OC(=O)[C@H](C(C)C)[C@H]1O.O=C=O>>CCC=C1OC(=O)[C@H](C(C)CC(=O)O)[C@H]1O | CCC=C1OC(=O)[C@H](C(C)CC(=O)O)[C@H]1O>>CC(C)C=C1OC(=O)[C@H](CCC(=O)O)[C@H]1O
starter_00005,1,1,0.6022738875474302,CCC=C1OC(=O)[C@@](CC)(OC)[C@H]1O.O | CCC=C1OC(=O)[C@H](OC)[C@H]1O.CCC=C1OC(=O)[C@H](OC)[C@H]1O,CC[C@@]1(OC)C(O)OC(=CC(C)O)[C@@H]1O | C=C1OC(=O)[C@H](OC)[C@H]1O.CCC=C1OC(=O)[C@@](CC)(OC)[C@H]1O,CCC=C1OC(=O)[C@@](CC)(OC)[C@H]1O.O>>CC[C@@]1(OC)C(O)OC(=CC(C)O)[C@@H]1O | CCC=C1OC(=O)[C@H](OC)[C@H]1O.CCC=C1OC(=O)[C@H](OC)[C@H]1O>>C=C1OC(=O)[C@H](OC)[C@H]1O.CCC=C1OC(=O)[C@@](CC)(OC)[C@H]1O
starter_00006,1,1,0.5628181060704929,C=CC[C@@H]1C(=O)OC(=CCC)[C@H]1O.C=CC[C@@H]1C(=O)OC(=CCC)[C@H]1O | C=CC[C@@]1(C=C)C(=O)OC(=CCC)[C@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,C=CC[C@@]1(C=C)C(=O)OC(=CCC)[C@H]1O.CCC=C1OC(=O)[C@@H](C)[C@@H]1O | C=C[C@]1(CC2CO2)C(=O)OC(=CCC)[C@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,C=CC[C@@H]1C(=O)OC(=CCC)[C@H]1O.C=CC[C@@H]1C(=O)OC(=CCC)[C@H]1O>>C=CC[C@@]1(C=C)C(=O)OC(=CCC)[C@H]1O.CCC=C1OC(=O)[C@@H](C)[C@@H]1O | C=CC[C@@]1(C=C)C(=O)OC(=CCC)[C@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>C=C[C@]1(CC2CO2)C(=O)OC(=CCC)[C@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O
