starter_idx,starter_smiles,status,num_molecules,num_total_generated,num_np_targets,time_seconds,error
0,CCC=C1OC(=O)[C@@H](C)[C@H]1O,success,931,908,18,293.89,
1,CCC=C1OC(=O)[C@H](O)C1=O,success,518,496,22,187.05,
2,CCC=C1OC(=O)CC1=O,success,661,640,18,216.59,
3,CCC=C1C[C@H](CC)C(=O)O1,success,1652,1632,18,481.11,
4,CCC=C1OC(=O)[C@H](C(C)C)[C@H]1O,success,1692,1670,18,541.63,
5,CCC=C1OC(=O)[C@H](OC)[C@H]1O,success,722,700,25,268.8,
6,C=CC[C@@H]1C(=O)OC(=CCC)[C@H]1O,success,2418,2395,19,722.06,
7,CCC=C1OC(=O)[C@H](C)C1=O,success,832,811,17,259.83,
8,CCC=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)[C@@H]1O,success,42,26,17,19.19,
9,CCC=C1OC(=O)[C@@H](C(C)C)[C@@H]1O,success,1692,1670,18,540.26,
10,CCC=C1OC(=O)[C@@H](OC)[C@H]1O,success,722,700,25,260.5,
11,C=CC[C@@H]1C(=O)OC(=CCC)[C@@H]1O,success,2418,2395,19,722.7,
12,CCC=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)[C@H]1O,success,42,26,17,18.18,
13,CCC=C1OC(=O)[C@@H](C(C)C)C1=O,success,1595,1575,18,498.36,
14,CCC=C1OC(=O)C[C@@H]1O,success,756,734,18,248.53,
15,CCC=C1OC(=O)[C@@H](OC)C1=O,success,621,600,25,231.16,
